Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
298305	3597	630.83	3991	3992	3969	-1	0	3881	4167	3969	8383.1	66.45	102	746566	5547.4	126.15	391	765	688527	3981	32	0.3242	0.2421	15
298305	3598	1355.19	3991	3993	3991	-1	0	3925	4057	3991	978.11	31.95	11	10940	889.2	30.61	164	758	10116	3991	17.1	0.0024	0.3256	9
298305	3599	1158.93	3991	3994	4046	-1	0	3969	4211	4046	648.9	7.437	148	88710	2.6456	87.258	324	760	73428	4082	45.5	0.1942	0.3407	19
298305	3600	1887.26	3991	3995	3947	-1	0	3881	4035	3947	2.8078	0.6604	100	259.5	2.3597	4.2516	56.1	1527	116.53	3947	12.8	-0.0642	0.3727	5
298305	3601	1215.89	3991	3996	4002	-1	0	3947	4057	4002	260.4	3.742	11	3006.8	96.74	69.587	287	761	2820.6	4002	12	-0.0171	0.3727	5
298305	3602	433.57	3991	3997	4024	-1	0	3859	4123	4024	5018.3	368.4	34	251052	2125.1	13.621	87	2288	242040	4026	26.8	-0.003	0.2575	13
298305	3603	1237.41	3991	3998	4013	-1	0	3969	4057	4013	38.368	0.4387	22	111.46	1.5022	87.449	314	759	1063.2	4012	9.78	0.1455	0.3813	5
298305	3604	1067.01	3991	3999	3914	-1	0	3826	4057	3914	368.62	1.532	84	30264	59.637	240.55	601	767	5000.3	3913	14	0.0769	0.3531	7
298305	3605	480.26	3991	4000	4035	-1	0	3914	4211	4035	5673.1	37.1	74	447107	3178.5	152.93	638	2288	393213	4034	30.8	-0.011	0.2421	15
298305	3606	866.78	3991	4001	3958	-1	0	3892	4002	3958	567.37	2.397	56	19843	0.64468	236.73	1019	760	3001.3	3953	10.9	-0.0387	0.389	6
298305	3607	519.14	4002	4003	3265	2691	0	3991	4640	4156	8890.9	1.428	611	4.8612E+06	6249.5	6225.7	4734	2300	719052	4233	141	0.132	0.75	48
298305	3608	602.3	4002	4004	4046	-1	0	3969	4266	4046	7903.8	30.64	61	620788	1493	257.97	822	766	558721	4052	27.7	0.2022	0.2575	13
298305	3609	616.8	4002	4005	4585	-1	0	3958	5190	4585	263830	239.1	144	3.8644E+07	3631.5	1103.2	2995	2288	3.4246E+07	4565	58	-0.1174	0.2761	26
298305	3610	1331.26	4002	4006	4002	-1	0	3936	4068	4002	3551.2	43.52	11	39247	2582.8	81.594	311	762	38627	4002	17.3	0	0.327	9
298305	3611	521.14	4002	4007	5245	4726	0	3980	4222	4046	1428	3.056	209	217312	1327.8	467.24	761	2294	105814	4086	59.6	0.5764	0.7855	22
298305	3612	1260.71	4002	4008	4046	-1	0	3947	4101	4046	186.81	2.011	75	14825	291.41	92.912	317	761	4558.5	4043	17.9	-0.3423	0.388	9
298305	3613	1263.28	4002	4009	4046	-1	0	3991	4101	4046	266.77	2.324	23	6377.1	0.15976	114.79	392	760	5186.3	4048	12.1	-0.1951	0.3727	5
298305	3614	1102.36	4002	4010	4013	-1	0	3914	4090	4013	628.23	5.608	59	40415	505.28	112.02	369	762	29638	4010	20.4	-0.0141	0.3112	10
298305	3615	1077.52	4002	4011	3980	-1	0	3914	4046	3980	1287.3	6.741	11	14361	0.18868	190.98	494	766	3877.2	3980	10	-0.0236	0.3727	5
298305	3616	1335.14	4002	4012	4013	-1	0	3958	4079	4013	354.93	8.886	11	4041.1	290.41	39.944	190	759	1938.2	4015	13.3	-0.0817	0.3817	7
298305	3617	747.31	4013	4014	4189	-1	0	3914	4519	4189	842283	639	74	7.9967E+07	7227.7	1318.1	8122	2296	7.3435E+07	4202	40.1	0.7554	0.4328	19
298305	3618	1832.02	4013	4015	4013	-1	0	3947	4079	4013	1022.1	496.2	11	11401	929.24	2.0596	8.14	764	12814	4013	18.1	0.001	0.334	9
298305	3619	1513.73	4013	4016	4013	-1	0	3958	4079	4013	3826.9	216	11	43971	3131.3	17.72	97.1	759	48310	4014	17.8	-0.0005	0.3342	9
298305	3620	1334.42	4013	4017	4035	-1	0	3969	4101	4035	522.1	7.538	51	31413	851.45	69.266	279	759	25216	4034	20	-0.0389	0.3015	10
298305	3621	411.23	4013	4018	4068	-1	0	3815	4266	4068	5820.7	91.82	144	806288	1501.1	63.39	275	2281	779216	4087	58.9	-0.404	0.2325	27
298305	3622	464.8	4013	4019	4090	-1	0	3859	4343	4090	8183.1	429.6	134	1.0379E+06	2498.7	19.049	170	2286	996718	4113	53.4	0.344	0.3961	23
298305	3623	1675.99	4013	4020	4024	-1	0	4013	4035	4024	0.83543	0.1693	16	15.693	0.70288	4.9336	32.1	764	14.403	4024	6.83	-0.0468	0.4956	3
298305	3624	959.66	4013	4021	4013	-1	0	3881	4079	4013	1784.9	11.07	73	34855	649.75	161.28	487	763	10821	4015	16.7	-0.1648	0.33	9
298305	3625	884.03	4013	4022	4101	-1	0	3969	4145	4101	911.35	6.95	84	25700	0.85982	131.13	388	764	7288.5	4097	16	-0.1799	0.3622	8
298305	3626	841.36	4013	4023	4002	-1	0	3958	4046	4002	30.943	0.3717	22	129.17	0.93828	83.246	295	761	726.4	4005	8.57	0.1584	0.4	4
298305	3627	559.29	4024	4025	4651	4198	0	3947	4101	4024	4998	43.08	59	282337	4998	116.01	395	769	270779	4023	23.9	0.0002	0.2767	11
298305	3628	1257.15	4024	4026	4024	-1	0	3958	4090	4024	3812.2	97.43	11	42065	3465.6	39.127	173	762	45278	4024	17.8	-0.0045	0.3318	9
298305	3629	443.14	4024	4027	3353	2888	0	3672	4310	3936	2775.5	3.029	433	1.1729E+06	2303.4	916.32	1198	2305	579227	3963	165	0.099	0.6019	61
298305	3630	1163.26	4024	4028	4035	-1	0	3991	4090	4035	1362.9	7.943	11	15060	372.51	171.58	480	761	5078.2	4036	10.9	0.1375	0.3671	6
298305	3631	1529.41	4024	4029	4024	-1	0	3958	4090	4024	798.52	73.02	11	8914.5	508.2	10.936	63.6	758	9326.2	4024	17.6	-0.0065	0.33	9
298305	3632	464.15	4024	4030	5190	4683	0	3782	4277	4046	751.77	5.353	450	192843	620.48	140.45	314	2294	123276	4004	102	-0.0974	0.5922	38
298305	3633	1492.41	4024	4031	3947	-1	0	3881	4035	3947	2.8073	0.1453	100	259.5	0.56897	19.316	105	759	116.54	3947	12.8	-0.0634	0.3727	5
298305	3634	1111.87	4024	4032	3969	-1	0	3914	4035	3969	1320.6	12.34	11	14734	0.48126	106.97	385	764	8728.3	3970	13.7	-0.0467	0.38	7
298305	3635	912.56	4024	4033	3980	-1	0	3925	4024	3980	1761	30.29	11	19536	0.39355	58.136	243	756	16562	3979	17.2	0.0534	0.3113	9
298305	3636	935.95	4024	4034	3980	-1	0	3914	4046	3980	1092.7	13.57	11	12220	0.30584	80.549	264	761	7872.7	3980	14.1	-0.0057	0.3775	7
298305	3637	514.27	4035	4036	4266	-1	0	3760	4431	4266	1856.4	24.59	335	394189	1505.4	75.491	281	770	340239	4196	77.3	-0.6487	0.3172	33
298305	3638	1148.97	4035	4037	4090	-1	0	4024	4156	4090	1119.8	6.594	11	12435	0.22461	169.82	532	763	3072.8	4090	9.78	-0.0038	0.4115	5
298305	3639	1303.56	4035	4038	4024	-1	0	4013	4035	4024	1.1226	0.0125	13	15.693	0.31879	89.66	322	760	20.751	4025	6.81	-0.3567	0.433	3
298305	3640	1134.17	4035	4039	4046	-1	0	4035	4046	4046	0.13042	0.0019	11	11.373	0.41297	68.204	260	760	0	0	0	0	0	0
298305	3641	863.6	4035	4040	4013	-1	0	3947	4068	4013	1457.6	11.72	11	19171	0.50715	124.34	372	764	11654	4011	15.2	-0.0883	0.365	8
