Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
485810	27453	871.42	31991	31992	31991	-1	0	31910	32172	31991	4.3243E+06	105	86	3.3298E+08	2.448E+06	41195	340120	2078	3.2225E+08	31987	27.8	-0.3209	0.278	13
485810	27454	794.44	31991	31993	32032	27501	0	31871	31991	31923	2.557E+06	3.952	54	2.382E+08	1.7712E+06	647003	4.58E+06	2078	1.5412E+08	31954	26.9	-0.2506	0.3351	11
485810	27455	624.87	31991	31994	30132	25701	0	31923	32198	32017	4.9511E+07	17.4	52	3.1787E+09	2.9188E+07	2.8455E+06	1.32E+07	4160	2.9227E+09	32019	24.1	0.05895	0.2913	11
485810	27456	514.3	31991	31995	32017	-1	0	31702	32291	32017	1.544E+07	6.413	128	2.5121E+09	1.6129E+07	2.4075E+06	9.06E+06	4154	1.4342E+09	32035	45.2	0.4297	0.375	18
485810	27457	598.08	31991	31996	31965	-1	0	31598	32146	31965	1.0415E+07	104.3	70	1.122E+09	8.3363E+06	99844	450884	4141	1.0579E+09	31936	65.9	-1.083	0.6793	24
485810	27458	589.83	31991	31997	32185	-1	0	31767	32807	32185	1.8401E+08	79.21	226	4.8278E+10	4.2043E+07	2.323E+06	1.28E+07	4164	4.4521E+10	32208	122	0.1842	0.2889	50
485810	27459	557.33	31991	31998	32029	-1	0	31845	32356	32029	5.0023E+07	33.49	22	3.8058E+09	2.3758E+07	1.4937E+06	4.37E+06	4167	3.3436E+09	32047	44	0.3347	0.3453	18
485810	27460	750.77	31991	31999	31991	-1	0	31754	32498	31991	1.5258E+07	53.82	185	2.8954E+09	1.251E+07	283517	1.2E+06	2077	2.4864E+09	32023	87.3	-0.2827	0.2269	33
485810	27461	884	31991	32000	32198	-1	0	31819	32628	32198	5.371E+07	324.6	226	1.243E+10	8.057E+06	165483	1.04E+06	2071	1.1716E+10	32219	107	0.2285	0.3551	42
485810	27462	488.28	31991	32001	32791	28170	0	31923	32172	32017	7.0517E+06	0.3944	119	8.082E+08	6.1698E+06	1.7878E+07	2.36E+08	6222	2.768E+08	32012	12	-0.1277	0.3727	5
