Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw
141805	6000	33.08357	2	33933	731.26	1385.8495	39.86	267	1001
141805	6001	33.0893	2	88103	3731.9	935.1469	78.98	232	868
141805	6002	33.09451	2	133532	2231.1	922.5768	37.92	340	1155
141805	6003	33.09955	2	75406	1944.8	1213.0366	54.74	313	1174
141805	6004	33.10506	1	3.9310E+07	2.0116E+06	1244.5361	115.1	1097	1097
141805	6005	33.11082	2	88071	8295.1	932.636	96.72	107	409
141805	6006	33.11562	2	68675	4267.4	907.1768	75.34	131	525
141805	6007	33.12049	2	389531	36614	1122.4116	225.8	226	840
141805	6008	33.12517	2	373792	32065	1177.9243	271.6	291	1054
141805	6009	33.12992	2	75418	5296.6	848.4811	158	250	1046
141805	6010	33.1352	2	182163	5684.7	933.7614	77.27	296	1094
141805	6011	33.13996	2	17655	388.01	1401.8544	31.2	193	760
141805	6012	33.14595	2	759231	114582	1382.6223	709.6	272	961
141805	6013	33.15048	2	91540	3010.7	460.2677	72.81	310	1184
141805	6014	33.15591	2	29754	746.25	714.4594	48.2	276	1006
141805	6015	33.16182	1	3.6864E+07	866375	1243.8889	50.07	1149	1149
141805	6016	33.16794	2	388335	36286	1122.3624	377.9	365	1125
141805	6017	33.17287	2	80396	3330.3	1477.4108	97.15	290	1106
141805	6018	33.17818	2	31091	537.24	1420.5023	33.73	265	1009
141805	6019	33.18414	2	128413	9292.7	1181.3313	194.7	316	1217
141805	6020	33.18937	2	195790	6876	1277.5737	88.24	296	1124
141805	6021	33.19419	2	245697	30203	1382.5917	296.5	281	1034
141805	6022	33.19889	2	12679	195.57	888.6954	15.43	155	660
141805	6023	33.20498	2	172094	13146	1018.4006	175.2	286	1145
141805	6024	33.20989	2	209608	8737.3	1009.1848	109.6	321	1185
141805	6025	33.2148	2	75854	1623.3	1176.4596	41.66	299	1017
141805	6026	33.22018	1	3.5173E+07	1.0365E+06	896.8707	59.52	1111	1111
141805	6027	33.22617	2	458625	50123	1132.6833	380.2	288	967
141805	6028	33.23096	2	160874	9510.9	1506.0527	177.5	297	1124
141805	6029	33.23599	2	102650	7237	1060.8445	167.2	292	988
141805	6030	33.24123	2	108450	2715.4	1103.5645	51.41	308	1211
141805	6031	33.24628	2	29786	332.64	1137.7339	18.96	278	1078
141805	6032	33.25226	2	114833	2406.8	1150.7867	50.5	352	1258
141805	6033	33.25772	2	29308	2989.7	1125.2532	126.5	166	691
141805	6034	33.26319	2	83689	8155.4	788.134	189.6	264	906
141805	6035	33.26846	2	7824.3	888.27	1489.5833	85.4	82	350
141805	6036	33.2744	2	234440	27145	1363.8943	410.1	280	1008
141805	6037	33.27911	1	3.4947E+07	689945	824.9332	45.15	1122	1122
141805	6038	33.28495	2	48736	1532.9	1584.6163	71.5	273	1090
141805	6039	33.29075	2	72996	2365.3	1582.5588	74.49	266	963
141805	6040	33.29585	2	55035	1356	1063.7833	37.45	240	850
141805	6041	33.30122	2	51354	10709	458.3441	178.2	50	179
141805	6042	33.30616	2	192438	18954	1306.7224	260.5	267	942
141805	6043	33.31095	2	89479	9523.1	856.6509	205.3	199	732
141805	6044	33.31598	2	440812	14625	1284.8158	89.09	323	1138
141805	6045	33.32058	2	101807	3908.2	1420.4641	90.51	280	1046
141805	6046	33.32563	2	116166	2549	844.8237	39.46	268	989
141805	6047	33.33059	2	147669	3333.7	1060.0039	51.3	330	1135
141805	6048	33.33559	1	3.9573E+07	1.6442E+06	825.0975	91.2	1133	1133
141805	6049	33.34175	2	79786	980.21	1101.7959	33.73	386	1297
141805	6050	33.34781	2	564060	61967	1132.5618	290.5	166	607
141805	6051	33.3524	2	101414	1149.1	1437.4934	24.6	330	1168
141805	6052	33.35757	2	690173	42298	898.3497	115.9	179	633
141805	6053	33.36209	2	62154	2469.6	1420.5538	79.67	246	911
141805	6054	33.3672	2	144072	14642	1018.4995	248.4	273	1074
141805	6055	33.37212	2	67028	2098.4	1079.1648	61.34	316	1066
141805	6056	33.37763	2	66683	747.72	1115.6514	23.49	355	1236
141805	6057	33.38326	2	65013	2738.6	1580.5045	87.06	292	1110
141805	6058	33.38888	2	75729	1624.1	873.308	42.48	268	986
141805	6059	33.39415	1	4.1256E+07	1.1854E+06	824.6422	66.86	1097	1097
141805	6060	33.40026	2	439040	27725	547.3021	76.96	106	307
141805	6061	33.40482	2	333104	46668	848.4291	492.8	233	799
141805	6062	33.4094	2	14868	744.38	1135.5095	55.57	139	511
141805	6063	33.41528	2	116713	6035.8	693.7392	127.6	298	1074
141805	6064	33.42034	2	1.3075E+06	80847	787.7068	159.6	240	755
141805	6065	33.42488	2	146590	20639	1060.3253	331.5	227	822
141805	6066	33.42986	2	169598	13604	547.3381	162.7	104	308
141805	6067	33.4347	2	17045	330.84	847.2943	17.74	144	629
141805	6068	33.44039	2	141637	21048	848.4148	365.4	184	732
141805	6069	33.44512	2	178189	5059.8	1090.7382	57.89	257	877
141805	6070	33.44984	1	4.1478E+07	2.0955E+06	825.0558	105.1	1088	1088
141805	6071	33.45578	2	751431	87803	848.4268	481.8	233	752
141805	6072	33.46042	2	161969	5436.8	1582.5402	72.28	220	799
141805	6073	33.4651	2	150009	10281	857.5367	107.6	128	495
141805	6074	33.46983	2	10934	253.5	995.0288	16.13	100	460
141805	6075	33.47546	2	139013	2586.7	920.3057	39.38	307	1069
141805	6076	33.48053	2	88281	2461	1385.5493	52.97	243	995
141805	6077	33.4855	2	19990	408.35	871.1786	20.18	156	627
141805	6078	33.49097	2	22456	440.03	937.9072	25.56	204	734
141805	6079	33.49672	2	22808	771.65	1135.447	44.39	178	635
141805	6080	33.50262	2	51273	533.26	932.3095	17.26	277	957
141805	6081	33.5084	1	3.5269E+07	1.8302E+06	825.1486	104.2	1020	1020
141805	6082	33.51498	2	556286	66229	848.4235	307.4	183	598
141805	6083	33.51958	2	94900	8030.9	960.3729	164.1	203	792
141805	6084	33.52475	2	263828	15855	866.6501	124.7	166	555
141805	6085	33.52939	2	247476	8973.4	1363.5636	93.93	326	1146
141805	6086	33.53409	2	207798	7748.4	1268.5563	101.3	292	977
141805	6087	33.53905	2	22149	222.53	892.3985	13.55	220	861
141805	6088	33.54514	2	180775	5185.3	693.3302	77.76	285	1065
141805	6089	33.55011	2	281813	20106	931.163	121.1	140	489
141805	6090	33.55481	2	20317	2234.5	401.3161	123.5	94	321
141805	6091	33.56057	2	103714	3052	1212.8147	63.66	333	1239
141805	6092	33.56593	1	3.6886E+07	1.4740E+06	825.0156	83.64	1036	1036
141805	6093	33.57259	2	384786	33507	1122.3429	322	340	1141
141805	6094	33.57756	2	441176	16892	1193.5947	121.1	304	948
141805	6095	33.58229	2	119751	2877.6	935.0581	44.18	268	961
141805	6096	33.58735	2	121776	3451.1	1279.4589	59.2	260	981
141805	6097	33.59225	2	37000	3563	1124.0211	165.9	205	799
141805	6098	33.59798	2	63927	2097.2	995.7601	70.99	318	1179
141805	6099	33.60363	2	24228	350.42	873.3217	17.29	176	785
141805	6100	33.60943	2	165405	5783	744.2205	80.38	339	1221
141805	6101	33.6144	2	53629	1276.8	1131.3977	50.02	321	1191
141805	6102	33.62011	2	154605	1794.4	743.9585	24.52	347	1197
141805	6103	33.62497	1	4.0586E+07	3.2336E+06	794.7196	180.9	1103	1103
141805	6104	33.63087	2	176706	7757.6	1363.5653	141.6	370	1409
141805	6105	33.63653	2	211825	16304	1174.7966	235.6	288	1020
141805	6106	33.64147	2	82043	1913.8	1052.5037	44.1	256	902
141805	6107	33.64671	2	1.7849E+06	231379	848.4591	684.6	239	808
141805	6108	33.65111	2	144593	20015	1174.287	319.5	230	878
141805	6109	33.65598	2	28811	644.32	1199.5922	40.08	246	978
141805	6110	33.66197	2	230773	19560	831.4409	172.8	236	856
141805	6111	33.6668	2	77035	1833.7	1134.8162	50.84	343	1112
141805	6112	33.6723	2	130191	2303.6	1422.4899	44.09	335	1199
141805	6113	33.67741	2	56982	2987.2	1192.8264	117.1	308	1128
141805	6114	33.68295	1	3.8843E+07	1.7229E+06	795.0187	93.85	1068	1068
141805	6115	33.68916	2	129851	6673.9	1103.483	143.7	338	1319
141805	6116	33.6946	2	45328	755.18	860.1167	23.91	212	872
141805	6117	33.70005	2	187489	3758.7	1221.9679	49.29	352	1157
141805	6118	33.70489	2	47529	673.87	1134.5383	24.18	275	1009
141805	6119	33.71033	2	72993	1972.5	971.6786	63.48	324	1222
141805	6120	33.7158	2	193045	6151	836.6247	102	289	1016
141805	6121	33.721	2	101372	1281	1351.7993	28.28	326	1272
141805	6122	33.72624	2	36386	2051.9	1192.7805	107.9	270	1090
141805	6123	33.73226	2	975457	69015	768.0264	184.8	197	652
141805	6124	33.73682	2	72586	698.38	1286.6541	20.71	340	1190
141805	6125	33.74236	1	3.5753E+07	1.7549E+06	794.7448	101.3	1071	1071
141805	6126	33.74864	2	101725	2387.9	1221.98	69.62	395	1357
141805	6127	33.75468	2	147720	7413.6	831.3564	94.07	260	862
141805	6128	33.75954	2	142096	5663.3	1043.6173	91.7	298	977
141805	6129	33.76454	2	104115	2794.6	1179.6744	46.14	239	890
141805	6130	33.76951	2	79637	1960.7	1100.9131	52.78	302	1121
141805	6131	33.77484	2	173509	20629	1176.3711	340.3	306	1021
141805	6132	33.77992	2	48702	2001.8	1229.0432	109.1	280	981
141805	6133	33.78578	2	78131	1957.3	975.5521	58.4	363	1211
141805	6134	33.79144	2	97857	1521.2	994.3881	32.54	318	1047
141805	6135	33.79654	2	43331	605.6	1053.6655	25.39	283	1163
141805	6136	33.80249	1	4.1988E+07	3.4058E+06	932.7823	182.4	1121	1121
141805	6137	33.80845	2	22546	936.45	946.4867	36.78	103	404
141805	6138	33.81341	2	3460.9	127.38	966.6359	8.554	35	139
141805	6139	33.81881	2	218125	38719	1336.61	664.5	333	1153
141805	6140	33.82376	2	108614	1741	1031.8284	31.35	274	975
141805	6141	33.82887	2	160555	60668	890.9333	1370	295	1006
141805	6142	33.83408	2	33179	541.65	1130.8829	32.35	289	1067
141805	6143	33.84006	2	36132	361.14	1002.4631	18.15	274	1078
141805	6144	33.84605	2	105653	10576	1128.8619	252.2	244	953
141805	6145	33.85125	2	126366	3559.9	787.6539	48.21	227	826
141805	6146	33.8561	2	52979	621.05	1094.1006	22.27	312	1182
141805	6147	33.86163	1	3.6291E+07	3.4934E+06	932.8656	207.2	1064	1064
141805	6148	33.86755	2	89811	3704.2	1268.5494	89.4	263	928
141805	6149	33.87278	2	191513	12990	1296.8224	192.2	315	1057
141805	6150	33.87769	2	182801	3636	1364.5482	48.44	322	1193
141805	6151	33.88251	2	73990	3215.7	1093.4414	88.84	275	1025
141805	6152	33.88779	2	103571	8756.6	958.0271	198.5	252	995
141805	6153	33.89297	2	131447	13569	1175.8894	290.4	242	822
141805	6154	33.89797	2	11012	161.18	820.9296	12.77	142	586
141805	6155	33.9041	2	73139	1040.1	1622.4956	37.44	346	1197
141805	6156	33.90971	2	44272	887.79	1240.5818	35.84	274	980
141805	6157	33.91523	2	24938	1532.6	1228.7947	115.2	189	777
141805	6158	33.92111	1	3.8167E+07	4.4998E+06	932.7991	264.2	1053	1053
141805	6159	33.92699	2	45112	1987	1143.3167	89.55	190	714
141805	6160	33.93224	2	56714	1077.5	1429.6189	39.2	332	1132
141805	6161	33.93781	2	118047	3118.8	1045.7573	63.42	315	1155
141805	6162	33.94293	2	79211	3574.2	937.7162	80.22	218	813
141805	6163	33.94809	2	22754	752.15	1385.8436	55.04	203	841
141805	6164	33.95408	2	80776	3457.4	873.694	79.38	235	858
141805	6165	33.95947	2	53839	1119.2	908.4183	39.49	265	923
141805	6166	33.96477	2	51388	520.04	1115.9226	17.74	288	1164
141805	6167	33.97039	2	126264	12058	976.5718	244	306	1128
141805	6168	33.9756	2	62528	1806.6	929.5197	60.5	289	1016
141805	6169	33.9811	1	3.6184E+07	4.0859E+06	932.7723	247.7	1103	1103
141805	6170	33.9878	2	308005	9578.8	1134.3279	101.1	294	946
141805	6171	33.9926	2	306943	9490.4	814.3807	76.32	257	881
141805	6172	33.99728	2	256392	72987	890.7712	955.5	233	885
141805	6173	34.0021	2	425497	34789	766.9901	190.2	195	675
141805	6174	34.00678	2	186406	15496	1042.3555	229.1	268	957
141805	6175	34.01165	2	154859	15632	1042.298	279.9	278	949
141805	6176	34.01656	2	94861	4046.8	1143.3447	120.5	241	890
141805	6177	34.02165	2	197713	3214.7	1189.5587	37.4	347	1234
141805	6178	34.0265	2	7777.9	178.31	839.2338	13.08	82	393
141805	6179	34.03218	2	10680	334.41	874.2766	30.87	141	573
141805	6180	34.03819	1	3.3951E+07	2.9002E+06	932.8165	206.5	1115	1115
141805	6181	34.04448	2	179918	33329	1336.2797	607.7	283	1074
141805	6182	34.04946	2	97027	5632	899.458	131.1	275	1041
141805	6183	34.05454	2	313663	12014	1223.5043	102.6	252	858
141805	6184	34.05922	2	75230	3032.9	1420.326	83.47	295	1088
141805	6185	34.06465	2	61596	1923.9	1429.1626	59.01	294	1112
141805	6186	34.07001	2	64733	926.84	968.7383	30.44	328	1173
141805	6187	34.07564	2	145098	2760.5	1429.1991	48.11	333	1171
141805	6188	34.08069	2	131454	1858.8	984.6986	29.56	318	1238
141805	6189	34.08582	2	61077	573.57	1015.7294	17.48	317	1166
141805	6190	34.09131	2	108675	2361.5	935.4941	44.14	290	1102
141805	6191	34.09634	1	3.0129E+07	1.1074E+06	932.7272	81.02	1139	1139
141805	6192	34.10274	2	56703	1697.5	1029.4711	60.36	260	944
141805	6193	34.10795	2	116085	5416.7	799.2502	113.5	276	970
141805	6194	34.11317	2	31480	360.55	1010.6523	14.37	207	807
141805	6195	34.11876	2	117120	5216.6	976.4522	79.5	212	776
141805	6196	34.12374	2	102286	2504.2	1121.4768	44.88	237	883
141805	6197	34.12882	2	24484	421.98	1178.6049	22.22	183	755
141805	6198	34.13449	2	39587	1606	1434.4479	77.24	270	1063
141805	6199	34.14031	2	45599	999.44	1101.2944	44.34	303	1110
141805	6200	34.14617	2	75279	856.06	792.6063	23.48	333	1223
141805	6201	34.15185	2	47887	517.44	1382.4166	22.78	320	1226
141805	6202	34.1578	1	2.6801E+07	456290	803.4958	37.07	1150	1150
141805	6203	34.16422	2	53034	1090	1533.7657	44.32	307	1198
141805	6204	34.17021	2	135540	9394.6	1109.2433	148.3	241	900
141805	6205	34.17525	2	83601	1882.9	788.3056	38.57	268	933
141805	6206	34.18049	2	62701	1591.5	935.9268	45.61	272	963
141805	6207	34.18586	2	39181	596.23	981.5264	24.66	243	891
141805	6208	34.19164	2	95280	1518	1318.8521	38.19	352	1238
141805	6209	34.19716	2	16205	304.97	881.1981	23.83	199	765
141805	6210	34.20325	2	169664	9252.6	1420.8026	143.2	314	1094
141805	6211	34.20821	2	64144	829.37	969.544	24.8	309	1048
141805	6212	34.21402	2	288906	18885	1122.7432	132.8	228	843
